text,category_clean,lat,lon,timestamp,severity_score,closed_date,lat_rounded,lon_rounded,spatial_density,time_window,temporal_density,growth_rate,acceleration,severity_norm,spatial_norm,temporal_norm,acceleration_norm,surge_gt_consensus,cond_count,cond_spatial,cond_severity,win_count,win_spatial_max,win_sev_mean,resolution_hours,surge_gt_external,mean_res_hours,priority_score
Loud Music/Party,noise,40.72314288436,-73.94366208446,2022-01-01 00:00:10,0.4851893309503794,2022-01-01 01:00:11,40.7231,-73.9437,84,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.3640350877192982,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,1.0002777777777778,0,10.805623456790125,0.4664939763983567
Loud Talking,noise,40.59747269272,-73.98885877128,2022-01-01 00:00:57,0.5809446413069963,2022-01-01 00:58:22,40.5975,-73.9889,73,2022-01-01 00:00:00,184,0.0,0.0,0.2642587397798345,0.3157894736842105,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.9569444444444444,0,10.805623456790125,0.4525027483281813
Loud Music/Party,noise,40.80256198626,-73.96417609587,2022-01-01 00:01:04,0.4851893309503794,2022-01-01 00:18:49,40.8026,-73.9642,95,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.4122807017543859,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.2958333333333333,0,10.805623456790125,0.4804852044685322
Loud Music/Party,noise,40.82980806227,-73.91923492133,2022-01-01 00:01:17,0.4851893309503794,2022-01-01 02:55:16,40.8298,-73.9192,97,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.4210526315789473,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,2.899722222222222,0,10.805623456790125,0.483029064117655
Loud Music/Party,noise,40.80151099801,-73.95006837622,2022-01-01 00:01:20,0.4851893309503794,2022-01-01 00:07:25,40.8015,-73.9501,104,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.4517543859649123,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.1013888888888888,0,10.805623456790125,0.4919325728895848
Loud Music/Party,noise,40.6413667164,-73.8981027374,2022-01-01 00:01:25,0.4851893309503794,2022-01-01 00:26:49,40.6414,-73.8981,39,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.1666666666666666,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.4233333333333333,0,10.805623456790125,0.4092571342930936
Loud Music/Party,noise,40.80256198626,-73.96417609587,2022-01-01 00:01:47,0.4851893309503794,2022-01-01 00:19:05,40.8026,-73.9642,95,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.4122807017543859,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.2883333333333333,0,10.805623456790125,0.4804852044685322
Loud Music/Party,noise,40.57874745185,-73.83865938009,2022-01-01 00:02:21,0.4851893309503794,2022-01-01 00:49:06,40.5787,-73.8387,42,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.1798245614035087,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.7791666666666667,0,10.805623456790125,0.4130729237667778
Loud Music/Party,noise,40.61766486038,-73.92189414507,2022-01-01 00:02:25,0.4851893309503794,2022-01-01 00:59:28,40.6177,-73.9219,62,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.2675438596491228,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.9508333333333332,0,10.805623456790125,0.4385115202580059
Car/Truck Music,noise,40.66820519158,-73.88917966797,2022-01-01 00:02:29,0.6219327751547098,2022-01-01 02:06:16,40.6682,-73.8892,80,2022-01-01 00:00:00,184,0.0,0.0,0.3773748954915629,0.3464912280701754,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,2.063055555555556,0,10.805623456790125,0.4614062571001112
Engine Idling,noise,40.61899230087,-73.96406929923,2022-01-01 00:02:43,0.7153465121984481,2022-01-01 00:42:32,40.619,-73.9641,45,2022-01-01 00:00:00,184,0.0,0.0,0.6351715266900678,0.1929824561403508,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.6636111111111112,0,10.805623456790125,0.416888713240462
Loud Music/Party,noise,40.61694114916,-74.01452312085,2022-01-01 00:03:10,0.4851893309503794,2022-01-01 00:26:42,40.6169,-74.0145,35,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.1491228070175438,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.3922222222222222,0,10.805623456790125,0.404169414994848
Loud Music/Party,noise,40.74275616254,-73.91185225614,2022-01-01 00:03:16,0.4851893309503794,2022-01-01 00:59:37,40.7428,-73.9119,40,2022-01-01 00:00:00,184,0.0,0.0,0.0,0.1710526315789473,0.475,0.5513670998701945,0,1,0,0,184,167,0.5709150153870249,0.9391666666666668,0,10.805623456790125,0.410529064117655
